country,hours_per_week,num_logins_last_month,videos_watched_pct,assignments_submitted,discussion_posts,is_working_professional,preferred_device,completed_course
15,1,18,0,9,2,0,1,0
16,4,22,1,5,2,1,2,0
4,3,18,0,9,3,1,5,0
10,6,26,0,7,4,0,2,1
0,1,21,0,2,4,1,5,0
2,4,26,0,2,1,1,0,0
16,4,25,0,4,2,0,2,0
5,0,29,0,2,4,1,2,0
7,5,22,0,7,2,1,2,0
10,3,19,0,5,2,1,2,0
11,8,20,0,4,2,1,1,0
5,1,14,0,5,1,0,1,0
15,7,15,0,9,2,1,1,1
6,3,21,0,4,0,0,6,0
9,8,18,0,0,3,1,0,0
18,3,17,0,2,2,1,4,0
15,0,30,0,2,2,1,1,0
6,5,25,0,8,0,1,3,0
3,1,18,0,7,3,1,4,0
0,4,13,0,2,2,1,2,0
3,6,17,0,1,4,1,4,0
15,5,29,0,4,4,1,2,0
6,10,19,0,5,2,0,2,0
10,6,18,0,0,6,1,2,0
17,2,18,0,9,2,1,1,0
18,3,25,0,9,3,1,6,0
18,3,17,0,5,0,1,0,0
9,1,23,0,5,2,1,2,0
18,4,22,0,8,3,0,1,1
15,9,15,0,3,3,1,2,0
9,5,23,0,4,1,0,2,0
17,2,30,0,0,2,1,5,0
8,8,21,0,1,0,0,1,0
7,7,25,0,8,1,0,2,1
7,3,15,0,3,1,1,2,0
17,1,17,0,9,3,1,2,0
15,1,7,0,7,1,1,1,1
8,1,14,0,5,4,0,1,1
7,3,20,0,7,1,1,1,0
15,5,17,0,5,2,1,5,0
4,6,19,0,3,5,0,2,0
11,11,22,0,5,1,0,2,1
18,6,32,0,1,2,0,1,0
12,5,28,0,0,2,0,1,1
9,4,23,0,2,0,1,5,0
18,4,24,0,7,1,0,1,0
6,4,20,0,7,3,0,1,1
17,6,14,0,6,2,1,4,0
4,3,20,0,4,0,1,1,0
9,1,22,0,2,2,1,4,0
12,5,17,0,9,0,0,4,1
15,5,22,0,8,2,0,0,1
1,5,18,0,4,2,0,2,0
12,2,16,0,9,2,1,1,0
13,0,20,0,5,1,0,2,0
3,4,25,0,1,1,0,2,0
8,8,17,0,0,1,0,1,0
11,3,28,0,3,0,1,2,0
9,7,19,0,0,4,0,2,1
7,3,20,0,5,1,1,2,0
4,9,23,0,2,3,0,1,0
11,4,25,0,3,4,0,2,0
14,8,21,0,4,3,0,0,0
4,7,29,0,9,2,0,0,1
11,6,14,0,8,3,1,2,0
15,9,20,0,5,2,1,5,0
11,3,17,0,2,5,0,2,1
3,5,21,0,1,1,0,2,0
15,0,19,0,2,4,0,2,1
15,6,21,0,8,3,1,1,0
13,4,18,0,5,2,0,1,0
7,5,17,0,1,1,0,1,0
12,3,22,0,3,3,0,0,0
10,9,20,0,1,0,1,0,0
5,2,26,0,7,2,0,2,1
3,4,22,0,5,3,0,0,1
18,4,22,0,2,2,1,1,0
0,2,22,0,8,4,0,2,1
16,1,25,0,6,3,1,2,0
8,7,25,0,9,2,1,2,0
7,0,24,0,5,2,1,1,0
2,5,23,0,1,2,0,1,0
17,7,22,0,8,1,1,1,1
2,3,24,0,8,1,1,0,1
10,1,28,0,7,0,0,2,1
8,6,23,1,3,1,0,4,0
14,6,21,0,3,4,1,4,0
11,6,23,0,8,1,1,1,0
7,6,21,0,9,3,1,1,1
10,6,25,0,3,2,1,2,0
11,3,21,0,8,1,1,4,1
7,7,23,0,7,4,0,1,1
10,1,15,0,5,1,0,4,0
14,2,19,0,6,3,1,1,0
12,8,20,0,5,4,1,4,1
18,4,19,1,7,1,0,5,1
6,6,19,0,6,2,1,1,1
12,1,17,0,5,2,0,6,0
12,7,11,0,2,2,0,5,0
0,1,25,0,3,1,1,0,0
18,3,23,0,9,0,0,1,0
2,1,19,0,7,2,1,2,0
15,2,28,0,6,3,0,1,1
11,3,18,0,2,2,0,4,0
9,3,18,0,7,2,1,2,0
11,1,17,0,6,2,1,2,0
5,1,19,0,4,2,0,2,0
11,3,14,0,4,3,0,6,1
0,10,20,0,7,1,0,1,1
6,3,25,0,2,3,1,2,0
7,5,19,0,1,3,1,2,0
15,7,22,0,1,3,1,2,1
3,4,21,0,2,2,1,2,0
15,3,15,0,6,3,1,1,0
12,4,14,0,7,4,1,2,0
2,5,21,0,1,3,0,1,1
5,6,22,0,5,3,1,2,0
2,0,27,0,9,2,0,1,1
13,3,23,0,3,0,0,4,0
10,2,16,0,1,2,0,0,0
5,8,21,0,4,1,0,2,0
10,2,10,0,6,0,1,2,0
11,6,23,0,7,2,0,1,1
17,7,23,0,0,2,0,1,0
6,1,24,0,9,1,0,2,1
10,8,14,0,0,4,1,0,0
3,6,25,0,0,1,1,4,0
8,5,18,0,2,1,1,0,0
2,5,20,0,6,3,1,2,1
15,3,13,0,7,1,1,2,0
0,3,22,0,9,3,1,2,0
0,2,27,0,3,4,1,5,0
8,7,13,0,9,2,0,0,1
10,10,14,0,5,1,1,5,0
13,5,16,0,1,1,1,1,0
9,3,17,0,6,3,1,2,0
4,5,22,0,4,1,0,1,0
7,7,23,0,6,1,0,0,1
10,1,21,0,4,1,1,1,0
0,6,24,0,8,1,1,0,0
16,0,25,0,7,2,1,1,0
6,5,26,0,3,1,1,2,0
0,6,20,0,4,1,0,1,0
6,2,21,0,3,1,0,2,0
10,2,20,0,9,2,0,5,0
10,0,27,0,9,4,1,2,1
13,0,17,0,7,1,1,6,0
4,9,18,0,6,2,0,6,1
9,3,18,0,2,0,1,1,0
6,5,28,0,4,2,1,2,0
15,6,23,0,3,1,0,1,0
7,5,17,0,6,3,1,2,0
8,4,20,0,7,0,0,2,0
7,5,21,0,1,2,0,5,0
9,8,20,0,7,1,1,2,1
8,4,19,0,8,3,1,4,1
6,6,14,0,4,2,1,2,0
5,4,17,0,2,0,1,6,0
3,4,26,0,1,0,0,6,0
18,0,24,0,8,0,1,5,0
4,5,19,0,9,1,0,1,0
16,8,20,0,9,1,1,5,0
8,4,16,0,1,1,1,2,0
13,0,21,0,0,2,1,0,0
0,8,29,0,8,1,0,2,1
15,4,23,0,6,3,0,1,1
1,9,19,0,9,4,1,1,1
8,4,24,0,8,0,0,1,1
15,6,23,0,6,2,1,2,0
6,0,26,0,3,1,0,2,0
0,7,17,0,6,3,0,1,1
4,4,15,0,2,3,1,2,0
13,3,21,0,1,3,0,2,1
6,5,19,0,2,2,1,1,0
10,8,19,0,1,2,1,1,0
11,4,9,0,2,4,0,2,0
0,7,21,0,5,1,1,4,0
8,6,16,0,4,1,0,1,0
11,0,25,0,6,4,1,2,0
0,2,36,0,6,0,1,2,1
8,7,12,0,6,3,0,2,1
7,4,15,0,3,4,1,2,0
9,4,14,0,5,2,0,0,0
4,2,20,0,7,1,1,5,0
10,5,25,1,5,1,0,1,0
8,7,17,0,6,5,1,4,1
4,2,23,0,5,0,0,2,0
2,5,18,0,9,3,0,2,1
18,4,27,0,5,2,1,2,0
5,3,19,0,8,3,0,0,1
2,2,16,0,1,0,1,2,0
4,0,19,0,8,0,1,2,0
8,1,18,0,6,1,1,1,0
17,5,14,0,5,2,1,4,0
8,5,16,0,4,2,1,2,0
2,5,16,0,0,6,0,4,0
12,5,24,0,8,2,0,1,1
17,4,25,0,6,4,0,2,1
3,8,12,0,0,1,1,2,0
16,7,24,0,9,2,1,1,0
10,0,25,0,7,4,1,5,0
9,5,18,0,2,0,1,2,0
5,8,22,0,7,2,1,5,0
12,4,21,0,0,1,1,0,0
12,8,21,0,1,0,1,5,0
12,0,18,0,5,4,1,2,0
12,8,26,0,9,2,1,1,1
17,5,24,0,7,1,1,4,0
2,6,18,0,7,4,1,1,0
18,5,19,0,3,0,1,1,0
13,3,19,0,6,2,1,6,0
10,7,25,0,6,1,1,1,0
13,5,23,0,6,5,1,3,0
4,6,17,0,4,3,0,1,0
11,4,18,0,8,2,1,5,1
17,4,26,0,7,1,0,1,1
5,5,31,0,2,5,0,4,0
15,3,16,0,0,3,0,2,0
15,4,18,0,8,2,1,5,0
11,4,24,0,2,2,1,2,0
9,4,13,0,9,1,1,5,0
2,2,22,0,0,1,0,0,0
2,2,10,0,1,0,1,0,0
10,2,21,0,5,5,1,5,0
3,4,22,0,4,2,1,2,0
17,2,14,0,3,3,0,4,0
17,5,22,0,0,1,1,2,0
6,6,22,0,2,4,1,1,0
7,6,29,0,1,1,1,2,0
8,5,28,0,5,5,1,0,0
16,9,24,0,5,2,0,0,1
2,6,23,0,5,0,0,0,0
2,4,11,0,6,1,1,2,0
16,8,18,0,3,6,1,6,1
2,4,21,0,6,1,1,0,1
15,3,17,0,5,3,1,1,0
18,7,18,0,8,4,1,0,1
13,6,22,0,6,1,1,2,0
7,5,15,0,9,3,0,1,1
4,4,20,0,0,0,0,2,0
9,7,29,0,3,2,0,0,1
3,5,24,0,0,3,1,2,0
9,0,8,0,6,2,1,0,0
4,5,20,0,7,4,0,1,1
0,2,14,0,9,4,0,4,1
12,2,16,0,8,4,1,2,0
3,8,21,0,6,1,0,5,1
9,4,28,0,0,1,1,1,0
13,2,22,0,8,2,1,0,1
12,5,16,0,0,2,1,1,0
13,4,22,0,5,1,0,1,0
17,4,19,0,2,2,1,2,0
2,6,17,0,3,2,0,4,0
15,1,23,0,7,5,0,2,1
8,6,17,0,9,0,1,5,0
2,4,19,0,3,0,0,2,0
14,8,23,0,7,1,1,2,1
3,11,27,0,4,2,0,1,1
15,8,20,0,8,4,0,0,1
13,3,20,0,1,3,0,1,1
18,5,19,0,7,3,1,1,0
5,5,22,0,9,2,1,2,1
2,7,17,0,5,1,1,4,0
6,2,16,0,7,1,1,2,0
17,2,16,0,2,2,1,2,0
9,3,15,0,5,2,0,1,0
2,1,16,0,5,1,1,2,0
12,5,22,0,4,2,0,1,0
9,7,17,0,7,5,1,4,1
2,1,20,0,9,2,0,1,1
15,3,30,0,3,3,1,5,0
9,4,19,0,3,4,1,0,0
11,2,19,0,7,2,1,6,1
15,5,14,0,2,3,0,5,0
8,4,17,1,3,1,1,2,0
7,4,29,0,9,2,0,1,1
9,2,21,0,1,4,1,1,0
12,8,15,0,7,5,1,2,1
4,9,15,0,4,5,0,1,1
10,4,25,0,7,1,1,4,1
5,6,26,0,0,2,1,4,0
6,7,25,0,8,3,1,2,1
3,3,20,0,7,1,0,5,0
11,1,31,0,6,5,1,1,1
3,4,22,0,0,5,0,2,0
8,2,19,0,9,3,1,3,1
13,4,18,0,0,0,1,2,0
3,3,22,0,7,2,1,2,0
8,3,25,0,1,1,1,2,0
16,6,25,0,8,0,1,5,0
4,5,16,0,0,2,1,1,0
15,6,19,0,8,2,0,2,1
8,2,17,0,0,3,0,1,0
7,4,17,0,9,2,0,2,1
12,6,12,0,6,3,1,2,1
15,4,17,0,6,1,0,0,0
8,4,15,0,9,1,1,6,0
11,10,23,0,5,1,1,2,0
3,3,23,0,5,2,0,5,0
2,4,15,0,5,2,0,2,0
15,6,27,0,3,4,0,2,0
4,1,15,0,5,1,0,2,0
6,2,21,0,4,2,1,1,0
8,1,20,0,6,1,0,0,0
13,9,15,0,8,2,1,2,0
8,4,23,0,9,1,1,2,0
15,4,33,0,3,3,0,1,1
11,8,25,0,9,2,0,2,1
18,5,19,0,0,2,0,1,0
3,1,16,0,4,1,0,1,0
8,5,23,0,9,2,0,2,0
9,5,24,0,9,4,1,2,0
8,6,17,0,4,1,0,1,0
13,4,21,0,4,0,1,6,0
9,4,24,0,4,4,0,2,1
18,5,24,0,2,2,0,1,0
8,5,18,0,4,0,0,0,0
9,7,30,1,8,2,0,4,1
17,8,24,0,6,1,1,1,0
11,3,33,0,8,3,1,5,1
12,5,19,0,8,2,1,2,0
16,6,26,0,7,0,0,2,1
10,5,24,0,3,0,1,2,0
9,6,25,0,2,1,0,0,0
5,6,16,0,4,3,0,6,0
8,4,30,0,6,2,1,6,1
16,3,20,0,9,1,1,1,1
15,5,22,0,4,2,0,2,0
15,8,21,0,5,3,1,2,0
18,8,23,0,7,0,1,1,0
6,4,29,0,1,0,1,2,0
5,9,20,0,8,0,0,1,1
0,7,14,0,0,2,1,1,0
15,6,24,1,8,3,0,1,1
3,4,14,0,9,2,0,1,1
5,6,24,0,5,1,1,2,0
2,7,25,0,1,3,0,4,0
11,6,18,0,7,3,0,0,1
11,8,24,0,6,4,1,6,1
6,4,24,0,6,5,1,1,1
12,7,18,0,2,2,1,1,0
3,4,20,0,7,1,0,6,0
6,1,14,0,5,2,1,0,0
5,2,23,0,9,2,0,2,0
4,2,26,1,5,1,1,2,0
7,1,28,0,2,4,0,1,1
4,4,31,0,3,0,0,4,0
6,6,26,0,8,3,1,0,1
4,9,25,0,1,1,1,5,0
13,0,19,0,2,4,0,2,0
13,3,21,0,8,2,1,5,0
4,4,21,0,8,0,1,6,1
18,1,10,0,9,3,1,5,0
4,4,24,0,9,1,0,1,0
17,4,17,0,7,2,0,2,0
17,5,28,0,0,0,1,1,0
17,3,30,0,8,1,1,4,0
12,6,21,0,3,2,0,1,0
10,4,18,0,8,3,1,6,1
0,10,16,0,2,0,1,2,0
8,5,23,0,3,7,1,4,0
3,2,28,0,2,3,0,4,0
2,4,20,0,9,0,1,2,1
6,2,18,0,6,1,1,2,1
5,3,22,0,1,2,1,1,0
18,4,20,0,7,2,0,1,0
15,2,15,0,7,1,1,2,0
0,7,19,0,7,2,0,2,1
13,4,23,0,3,2,1,2,0
18,1,18,0,3,1,0,6,0
18,5,19,0,6,1,0,4,1
8,4,17,0,4,2,1,1,0
12,5,13,0,8,2,0,1,1
17,4,21,0,8,1,1,2,0
12,5,23,0,4,1,0,2,0
5,1,18,0,1,3,0,4,0
9,7,19,0,4,4,1,2,0
0,5,19,1,3,3,1,2,0
13,5,17,0,6,1,0,4,0
13,4,22,0,1,3,1,2,0
16,4,13,0,6,0,1,4,1
16,8,16,0,4,0,1,1,0
17,6,19,0,8,1,0,2,1
18,6,20,0,6,3,0,2,1
7,4,25,0,4,4,1,2,0
2,6,13,0,9,1,1,2,0
2,10,22,0,7,2,0,5,1
6,6,16,0,2,1,1,4,0
7,4,23,0,4,1,1,1,0
2,0,15,0,6,0,0,1,0
6,7,25,0,6,2,1,2,0
11,4,29,0,4,1,0,2,0
10,6,24,0,0,2,1,2,0
9,0,22,0,7,1,1,2,1
17,8,18,0,7,3,0,5,1
18,0,24,0,3,1,1,2,0
11,7,25,0,2,1,1,1,0
0,6,12,0,3,1,1,1,0
15,0,28,0,6,0,1,2,0
9,6,23,0,1,4,0,1,0
7,1,20,1,2,1,0,0,0
0,6,25,0,5,0,0,4,0
9,2,22,0,8,0,0,5,0
18,6,20,0,4,2,0,1,0
7,3,20,0,4,2,1,4,0
12,5,28,0,6,1,1,2,0
7,8,27,0,6,1,1,2,1
11,0,21,0,7,3,1,5,0
18,13,15,0,9,1,1,6,0
16,7,14,0,0,2,0,2,0
13,4,18,0,6,6,1,0,0
4,5,16,0,7,2,1,4,0
18,6,16,0,5,0,1,4,0
0,6,16,0,2,0,0,5,0
12,5,26,0,7,3,1,2,1
3,7,21,0,3,3,1,1,0
2,7,19,0,2,1,1,2,0
7,9,20,0,4,2,1,0,0
12,0,24,0,6,0,1,0,0
8,0,22,0,4,3,1,2,0
17,5,18,0,9,0,0,1,0
18,5,27,0,8,3,0,3,1
9,4,18,0,9,2,1,1,0
7,4,21,0,8,3,0,0,1
17,4,17,0,5,1,0,2,0
7,3,12,0,2,3,1,1,0
13,5,14,0,1,2,1,6,0
18,5,22,0,8,4,1,4,1
4,2,18,1,8,3,1,1,1
18,4,13,0,0,2,1,2,0
2,2,20,0,2,3,0,2,1
12,3,19,0,5,2,1,6,0
2,2,15,0,8,3,1,2,0
11,4,19,0,0,1,0,6,0
15,2,20,0,5,1,0,4,0
8,6,16,0,8,2,1,2,0
2,4,26,0,6,2,0,2,1
11,6,19,0,3,3,1,2,0
17,3,22,0,4,1,1,1,0
10,7,19,0,2,1,0,0,0
9,8,17,0,7,2,1,1,1
2,6,17,0,1,3,1,2,0
9,4,21,0,9,1,1,2,1
6,3,15,0,3,1,1,1,0
8,1,17,0,4,1,0,1,0
6,6,26,0,5,4,0,0,0
16,3,22,0,3,3,1,2,0
18,3,17,0,1,3,0,2,0
6,3,24,0,2,0,1,1,0
13,6,18,0,3,4,1,4,0
6,7,19,0,8,1,0,2,1
11,5,16,0,4,1,1,5,0
13,0,15,0,6,3,1,6,1
11,4,19,0,3,6,1,4,0
7,6,22,0,2,2,1,5,0
6,7,16,0,1,1,1,4,0
13,7,16,0,6,2,1,5,1
17,1,17,0,9,2,1,1,0
16,3,31,0,4,2,0,2,0
5,8,25,0,1,1,1,0,0
5,4,22,0,5,3,1,2,0
18,6,19,0,5,1,0,0,0
13,3,18,0,0,1,0,1,0
4,3,23,0,9,1,0,4,1
8,4,18,0,7,2,0,2,1
11,7,14,0,1,0,1,2,0
7,4,22,0,4,3,1,2,0
0,5,15,0,2,3,0,1,0
16,9,25,0,2,2,0,1,0
16,6,26,0,1,3,1,2,1
15,5,32,0,7,1,1,4,0
4,5,20,0,9,2,0,2,1
6,4,19,0,8,1,0,2,0
8,3,24,0,3,3,0,6,1
9,0,21,0,6,0,1,4,1
8,7,14,0,5,3,0,1,0
16,4,28,0,0,2,0,1,0
5,4,17,0,8,3,1,5,1
0,1,14,0,5,0,0,2,0
3,4,19,0,9,1,0,2,0
8,4,18,0,9,1,0,2,0
9,7,18,0,5,2,0,2,0
4,4,22,0,4,5,0,6,1
8,2,25,0,7,3,0,5,1
2,3,20,0,9,1,0,4,0
1,8,16,0,8,0,0,1,1
12,10,15,0,3,3,1,2,1
1,5,13,0,6,2,1,2,0
8,6,12,0,8,1,1,1,0
2,5,26,0,3,3,1,2,0
0,3,27,0,5,2,0,0,0
12,8,9,0,4,0,1,1,0
15,5,18,0,4,4,0,2,1
18,8,20,0,0,0,1,2,0
0,1,18,0,9,1,0,1,0
3,6,28,0,8,0,1,2,0
4,5,17,0,7,2,1,0,0
13,9,21,0,1,2,1,1,0
18,4,21,0,7,2,1,5,0
6,7,14,0,6,2,1,2,0
16,7,19,0,3,2,1,1,0
18,2,16,0,0,2,1,2,0
11,6,19,0,6,3,1,0,0
13,1,24,0,7,1,1,5,0
13,5,18,1,3,1,0,5,0
5,3,26,0,3,3,0,1,0
3,4,22,0,6,2,1,0,1
11,8,15,0,2,0,1,2,0
13,3,22,0,7,0,0,1,0
13,5,23,0,6,1,0,1,0
5,5,16,0,6,1,1,4,0
16,4,18,0,3,2,1,5,0
15,3,22,0,9,2,0,1,0
9,7,20,0,2,3,1,1,0
13,5,23,0,2,3,1,2,0
17,2,18,0,3,2,0,2,0
0,6,21,0,1,2,1,1,0
16,0,20,0,0,1,0,3,0
6,1,14,0,1,3,0,5,0
8,1,28,0,5,0,1,2,0
9,8,25,0,3,2,1,2,0
8,4,23,0,4,3,1,2,0
18,5,24,0,8,1,1,2,0
4,3,22,0,3,1,1,1,0
12,0,18,0,1,6,1,1,0
7,5,29,0,6,2,1,2,1
7,2,26,0,7,2,1,6,0
7,3,14,0,3,3,0,2,0
15,3,17,0,1,3,1,2,0
2,5,17,0,9,2,0,1,0
16,2,24,0,1,2,0,1,0
18,1,17,0,7,2,1,1,0
8,8,27,0,0,2,1,1,0
16,5,26,0,7,4,0,5,1
0,5,20,0,2,2,0,2,0
0,6,19,0,4,1,0,2,0
17,6,13,0,0,2,1,4,0
15,2,26,1,3,2,1,0,0
5,8,27,0,2,4,1,5,0
13,1,14,0,6,2,1,5,0
15,5,19,0,2,3,0,1,0
9,3,18,0,1,2,0,4,0
6,4,21,0,4,0,0,2,0
13,3,19,0,2,0,0,2,0
0,3,23,0,0,3,0,1,0
7,9,18,0,9,2,0,2,1
6,6,22,0,0,1,1,5,0
12,3,24,0,8,1,1,1,0
2,2,18,0,9,2,1,2,0
10,4,16,0,1,3,0,0,1
16,0,12,0,1,3,0,1,1
11,8,17,0,8,2,0,1,1
8,5,32,0,0,2,1,1,0
9,8,23,0,2,4,1,1,1
5,6,22,0,0,0,0,2,0
13,0,16,0,9,3,0,1,1
9,3,18,0,5,1,1,2,0
18,1,22,0,2,4,1,2,0
0,4,15,0,1,5,0,1,0
6,5,18,0,1,4,0,1,0
17,4,15,0,2,0,0,1,0
15,7,20,0,4,3,1,6,1
2,9,24,0,9,3,0,3,1
6,9,14,0,7,1,0,5,1
3,8,19,0,0,2,1,1,0
5,4,24,0,3,0,0,6,0
13,7,18,0,9,2,0,2,1
18,7,33,0,1,2,1,3,0
3,7,17,0,9,2,1,4,0
9,5,25,0,0,1,1,1,0
8,10,22,0,7,3,1,5,1
12,7,24,0,1,3,0,0,0
9,3,22,0,1,4,0,5,0
6,4,14,0,6,2,1,2,1
0,6,33,0,2,2,1,0,0
5,8,17,0,3,4,1,1,0
10,0,21,0,3,2,0,1,0
13,3,20,0,1,3,1,1,0
7,5,17,1,6,4,1,5,1
3,4,14,0,9,2,0,5,1
3,3,15,0,2,2,1,2,0
6,4,16,0,6,2,0,2,1
7,9,15,0,1,1,0,2,0
11,6,22,0,4,3,1,2,0
6,11,24,0,6,1,1,5,0
10,7,26,0,5,2,1,2,0
17,5,17,0,6,0,0,2,1
2,6,26,0,9,3,0,6,1
11,1,26,0,5,1,0,5,1
13,5,20,0,8,2,1,4,0
8,5,17,0,9,0,1,2,0
2,4,22,0,3,0,0,1,0
10,5,23,0,0,2,1,2,0
15,2,22,0,5,2,1,2,0
12,5,29,0,4,2,1,2,0
15,8,23,0,2,2,1,0,0
17,4,12,0,5,1,1,1,0
2,5,19,0,3,2,1,0,0
16,3,15,0,0,1,0,5,0
18,7,19,0,8,2,1,4,0
7,3,20,0,7,4,0,2,1
